"Pred","Obs","x","y","Type","ClimateCode"
666.90234,753.907163221389,150.379309592592,-30.1591807779126,"Martino's data",4
944.9465,1157.05925281905,143.564648396926,-37.9592249980536,"Martino's data",5
548.175,383.774397192523,151.354263429446,-30.4914128892175,"Martino's data",5
467.30322,490.034133818001,151.170744427684,-24.1512257530029,"Martino's data",1
190.86044,329.376393366139,138.874775426512,-34.158130154869,"Martino's data",5
442.06143,420.031982006505,146.093201554582,-19.9050968359279,"Martino's data",1
715.8845,1636.08506698906,118.026945823889,-30.705961400144,"Martino's data",4
3191.2073,4325.95654105395,146.490090040371,-36.1898502713756,"Martino's data",4
750.70746,610.178619299084,142.309496764554,-37.6851341104874,"Martino's data",6
2637.026,2159.79804020375,145.601686010306,-41.015070415651,"Martino's data",6
921.7254,798.921251478605,116.971981886574,-34.2867737910408,"Martino's data",5
598.56213,883.439841151237,147.828330149898,-37.8068316258617,"Martino's data",5
1239.5085,1076.620610632,147.044095632486,-32.5373124163708,"Martino's data",4
1120.9763,1318.6675392352,149.834471408315,-36.638010200766,"Martino's data",5
292.6259,459.042736896314,147.155159881316,-38.2861369358123,"Martino's data",5
401.60062,210.871882738546,118.758882484351,-32.9252260957141,"Martino's data",4
271.31326,673.037467148155,150.002255938306,-26.5265565117817,"Martino's data",4
1444.5994,1141.6939794682,147.542906366529,-32.7195148396261,"Martino's data",4
844.6362,0,146.894518967364,-33.6121523820981,"Martino's data",4
626.59656,386.673884974793,138.252276265002,-35.6081938192587,"Martino's data",5
320.28723,350.951942235231,142.928897414034,-38.4710010024211,"Martino's data",5
604.9821,1098.30978239328,151.494142627169,-28.98661353649,"Martino's data",4
617.9111,752.579960800707,144.959224980269,-37.2678635501242,"Martino's data",5
1236.2941,0,146.163898172134,-41.2650653745137,"Martino's data",6
390.85678,5051.54008747265,143.988665020457,-38.1925222900282,"Martino's data",5
1607.0559,1619.52254543453,145.39854476415,-37.4300835157475,"Martino's data",6
245.21411,423.961722636595,146.240965866294,-38.5876151025171,"Martino's data",5
797.0578,1069.0358717218,147.742313927445,-37.745595408667,"Martino's data",5
607.01447,1477.08080034703,147.16228971783,-35.8658417446104,"Martino's data",5
349.17987,530.059580095112,149.005008725955,-32.9417928078717,"Martino's data",5
430.00568,357.353421649896,146.198165163208,-36.1016522171576,"Martino's data",4
567.25977,886.461056500673,150.493602802623,-34.431938164466,"Martino's data",5
2071.907,0,152.808443092942,-26.1327119152064,"Martino's data",2
0.29652953,3447.33094938099,144.389328135131,-36.6358802215289,"Martino's data",5
2326.12,2223.0143879503,146.560661965614,-33.5525363628058,"Martino's data",4
399.31683,0,149.317526726599,-31.294071191671,"Martino's data",4
133.31868,306.810335710645,145.936674678832,-36.0183518157693,"Martino's data",4
331.9936,871.988425150514,139.706606798734,-33.8746759345476,"Martino's data",4
3.6249897,207.574244171381,138.247425045286,-32.8315439040869,"Martino's data",4
476.47934,548.926015840843,150.633206866432,-32.9999188834546,"Martino's data",5
539.88525,361.354155831039,145.113861373686,-37.230696583174,"Martino's data",6
474.18073,653.443928780034,151.429956344041,-29.1200019421321,"Martino's data",4
968.75214,1132.62953925319,145.90752591936,-31.4394936905036,"Martino's data",4
308.28326,183.790245102718,142.230507930164,-37.641734030911,"Martino's data",6
343.8625,481.517676731572,146.66193294463,-38.1108396347715,"Martino's data",5
16.408878,224.478304296732,147.68837039962,-42.8502740614444,"Martino's data",6
161.76364,585.233130063862,146.139235571521,-38.758382053344,"Martino's data",5
456.9392,1072.10092679784,149.104990602973,-32.1574005315277,"Martino's data",4
828.1405,1268.14148804918,148.669880226135,-31.6048504782011,"Martino's data",4
256.83975,246.268367737532,149.743588016349,-34.3556299318029,"Martino's data",6
14.761411,230.189997166395,145.382534371596,-37.9905286940542,"Martino's data",5
900.4051,139.084185438231,146.393489873706,-35.6075438007554,"Martino's data",4
337.74838,535.808626808226,116.713587957221,-32.289364144221,"Martino's data",4
2693.86,160.891610078514,118.560100783306,-31.0311227941402,"Martino's data",4
24.737995,0,149.679903748284,-30.3834702047251,"Martino's data",4
148.1245,0,116.381520659359,-33.5586550263071,"Martino's data",4
732.43,2365.13212380931,144.960763640173,-35.550705296359,"Martino's data",4
906.83124,908.66871387884,151.877304385639,-25.0957105873308,"Martino's data",1
658.87646,368.329756541178,151.253262991861,-24.0618884231616,"Martino's data",1
963.5228,1168.07935135067,153.481156373068,-28.6036143189695,"Martino's data",2
103.21395,115.216309698299,147.182310875973,-41.1996464641954,"Martino's data",6
