"Ref","Latitude","Longitude","CH4_mgm2day.mean","Water_Temp_C","Temp.annual","CH4_mgm2day.EbuAdj","CH4_mgm2day.EbuAdj.LCI","CH4_mgm2day.EbuAdj.UCI","Water_Temp_K","Boltzmann_15C","CH4_mgm2day.EbuAdj.15C","Loc"
"ANU.Fieldwork",-34.285849,148.225565,1.58350795241731,17.2333333333333,16.6491661071777,5.46664507509888,6.8990175433593,4.42025458142216,290.383333333333,0.3097350467513,4.78688423601189,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.306088,148.199023,17.7149198285671,18.4666666666667,16.3282012939453,59.8581810389108,75.2147968852525,48.6028896183523,291.616666666667,0.478749386319514,48.7514641884508,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.299823,148.212875,6.64684661612829,15.5666666666667,16.2347774505615,22.3204972241023,28.0135290354634,18.1443415739107,288.716666666667,0.0790431608329456,21.5768096887723,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.865803,148.829786,1.17883010540392,13.8,15.9247589111328,3.87831851611253,4.84957881120111,3.16404845283299,286.95,-0.168416060405178,4.16869365927976,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.85916,148.825361,3.97290353794029,12.8333333333333,15.8594331741333,13.0147487997422,16.2622167003202,10.6254287570581,285.983333333333,-0.305112405021887,14.833480934605,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.865444,148.835839,11.5590598612018,13.3,15.9247589111328,38.028987962766,47.5527147833417,31.025187855639,286.45,-0.239005878008236,42.1321892315025,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.995254,146.937548,4.94623782300759,15.1,17.9225387573242,18.6267129851409,24.0098476354585,14.7636544876894,288.25,0.0139713756962294,18.5154795648887,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.9925,146.9362,1.38673951153885,15.3333333333333,17.8333339691162,5.1900326348068,6.67873098686111,4.12012233139995,288.483333333333,0.0465335841982579,5.08752133282735,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.992599,146.932601,0.932151969128124,16.7,17.8333339691162,3.48868630346144,4.48937395154418,2.76950365393525,289.85,0.236202289996406,3.15271452451776,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-36.06454,147.17612,12.0579021174865,16.0666666666667,16.1681175231934,40.3125760407199,50.5528552210667,32.7963764925598,289.216666666667,0.148529901944379,37.8256625027645,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-36.058229,147.180243,0.728364033353948,17.2,16.799388885498,2.54002381598346,3.21253366556327,2.04957460023389,290.35,0.305147163690897,2.22855845214715,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-36.051485,147.179191,104.510919366708,17.2333333333333,16.1654758453369,349.344954314067,438.072057038417,284.219218382049,290.383333333333,0.3097350467513,305.904962140981,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-36.0637,147.1729,49.1661832180477,17.3,16.1681175231934,164.374820785381,206.129633312408,133.727462688791,290.45,0.318907653716963,143.370413987951,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.77307,146.891812,0.933913477547767,20.1,17.0436363220215,3.311079813318,4.20334625441041,2.66232331912949,293.25,0.700391138163269,2.45226542973351,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.771719,146.893291,-0.004990206492438,20,17.1448078155518,0.017814217458974,-0.0226511782993897,-0.0143019963003524,293.15,0.686892212935142,0.0132702122814099,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.774593,146.895204,15.5675511870742,19.4,17.1448078155518,55.5736005254486,70.6630834130109,44.6168028959271,292.55,0.60570486397301,42.8642772055037,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-33.512312,148.578701,0.235671919366449,18.3666666666667,18.3839874267578,0.916556515990727,1.19228912765419,0.720300284718579,291.516666666667,0.465098797654015,0.750870305038751,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-33.515833,148.577222,-0.399698914364366,15.0333333333333,18.3839874267578,1.55447728087385,-2.02211901703407,-1.22162726298629,288.183333333333,0.00465820258450833,1.55137608600236,"Temperate (Australia; N = 165)"
