"Date","NAME","FinYear","RelSurfaceArea"
1982-03-01,"Victoria","1982",0.368059014252373
1982-03-01,"Western Australia","1982",0.28341049340855
1982-03-01,NA,"1982",0.400473990385038
1982-04-01,"Australian Capital Territory","1982",0.481033339623736
1982-04-01,"New South Wales","1982",0.343944387997295
1982-04-01,"Northern Territory","1982",0.1658795346554
1982-04-01,"Other Territories","1982",0.529671402530172
1982-04-01,"Queensland","1982",0.39307086181298
1982-04-01,"South Australia","1982",0.210895015064108
1982-04-01,"Tasmania","1982",0.39352859213652
1982-04-01,"Victoria","1982",0.320836466685212
1982-04-01,"Western Australia","1982",0.135459834823678
1982-04-01,NA,"1982",0.346444887001128
1982-05-01,"Australian Capital Territory","1982",0.148113650804157
1982-05-01,"New South Wales","1982",0.295187539225425
1982-05-01,"Northern Territory","1982",0.204635559486849
1982-05-01,"Other Territories","1982",0.498287447223081
1982-05-01,"Queensland","1982",0.372922003554829
1982-05-01,"South Australia","1982",0.266233123684
1982-05-01,"Tasmania","1982",0.413745565097009
1982-05-01,"Victoria","1982",0.313086855114265
1982-05-01,"Western Australia","1982",0.177003927599877
1982-05-01,NA,"1982",0.343034658424838
1982-06-01,"Australian Capital Territory","1982",0.220260691544241
1982-06-01,"New South Wales","1982",0.270756517191862
1982-06-01,"Northern Territory","1982",0.142670840516559
1982-06-01,"Other Territories","1982",0.481390614702848
1982-06-01,"Queensland","1982",0.307413736997739
1982-06-01,"South Australia","1982",0.260276765280893
1982-06-01,"Tasmania","1982",0.388038444322494
1982-06-01,"Victoria","1982",0.347908487246468
1982-06-01,"Western Australia","1982",0.240943980190369
1982-06-01,NA,"1982",0.371591162901643
1982-07-01,"Australian Capital Territory","1983",0.158746698224657
1982-07-01,"New South Wales","1983",0.225446937436434
1982-07-01,"Northern Territory","1983",0.167078301412225
1982-07-01,"Other Territories","1983",0.518957818666309
1982-07-01,"Queensland","1983",0.332592937193539
1982-07-01,"South Australia","1983",0.242541486339065
1982-07-01,"Tasmania","1983",0.421018909290934
1982-07-01,"Victoria","1983",0.26353703839474
1982-07-01,"Western Australia","1983",0.247406447166045
1982-07-01,NA,"1983",0.383235571936277
1982-08-01,"Australian Capital Territory","1983",0.109436930802085
1982-08-01,"New South Wales","1983",0.21399338915069
1982-08-01,"Northern Territory","1983",0.0962505969651439
1982-08-01,"Other Territories","1983",0.558911721128102
1982-08-01,"Queensland","1983",0.30141902180873
1982-08-01,"South Australia","1983",0.280877308824969
1982-08-01,"Tasmania","1983",0.422431881186568
1982-08-01,"Victoria","1983",0.298301675358592
